Date,Open,High,Low,Close,Volume
06/06/2025,"251.14","255.32","246.13","246.93","41,146,648"
06/05/2025,"262.95","264.89","259.06","259.93","42,334,078"
06/04/2025,"258.06","265.43","257.59","261.08","31,536,051"
06/03/2025,"250.08","257.88","249.40","256.85","30,380,250"
06/02/2025,"243.25","250.00","243.19","248.71","19,197,010"
05/30/2025,"241.22","243.17","234.90","242.07","27,088,561"
05/29/2025,"245.91","246.07","237.40","241.97","20,768,029"
05/28/2025,"237.15","240.99","234.43","239.43","20,443,000"
05/27/2025,"232.87","236.48","231.13","235.65","17,941,670"
05/23/2025,"226.94","230.65","226.18","228.72","15,385,630"
05/22/2025,"228.34","233.69","227.43","230.53","14,340,230"
05/21/2025,"228.39","236.50","227.83","229.73","17,642,939"
05/20/2025,"226.49","231.77","226.34","231.68","11,787,160"
05/19/2025,"221.85","231.25","221.60","230.63","15,355,450"
05/16/2025,"232.32","232.64","226.39","228.61","23,094,609"
05/15/2025,"230.16","234.46","228.07","232.64","18,803,680"
05/14/2025,"230.23","233.50","228.35","232.12","19,751,449"
05/13/2025,"222.00","235.28","222.00","232.42","28,790,539"
05/12/2025,"219.49","221.80","215.88","221.58","25,437,670"
05/09/2025,"209.33","209.96","206.52","208.20","13,289,170"
05/08/2025,"208.00","211.16","203.69","207.77","18,460,930"
05/07/2025,"199.29","206.23","198.43","204.81","20,277,830"
05/06/2025,"196.44","201.91","195.94","200.09","16,348,810"
05/05/2025,"200.25","203.23","200.00","200.72","14,025,430"
05/02/2025,"203.90","205.68","201.08","203.64","17,766,750"
05/01/2025,"198.14","201.40","196.24","197.33","24,939,699"
04/30/2025,"185.90","193.20","184.02","192.47","22,768,859"
04/29/2025,"191.72","193.25","190.10","191.17","14,630,020"
04/28/2025,"190.53","193.10","187.68","192.47","16,385,850"
04/25/2025,"186.92","193.37","186.89","192.31","21,242,340"
04/24/2025,"179.69","188.57","178.30","188.15","27,576,900"
04/23/2025,"177.78","180.45","175.82","176.91","24,380,471"
04/22/2025,"167.43","170.52","165.22","169.58","18,504,859"
04/21/2025,"166.99","168.00","161.61","166.21","23,469,789"
04/17/2025,"176.25","176.25","169.92","170.99","22,501,789"
04/16/2025,"170.43","176.08","166.92","174.61","34,638,641"
04/15/2025,"179.73","182.26","178.08","178.95","17,242,350"
04/14/2025,"185.08","186.00","175.82","178.36","25,748,301"
04/11/2025,"173.62","182.66","173.31","181.94","33,964,141"
04/10/2025,"175.30","176.95","166.40","172.30","51,212,219"
04/09/2025,"160.50","187.33","157.51","185.15","72,708,312"
04/08/2025,"167.62","169.78","153.09","156.03","58,888,230"
04/07/2025,"144.49","160.43","138.10","154.14","68,503,516"
04/04/2025,"148.17","152.80","139.17","146.29","72,302,234"
04/03/2025,"160.54","163.43","153.70","154.01","44,354,859"
04/02/2025,"166.08","173.43","165.50","172.09","19,523,660"
04/01/2025,"166.37","168.71","163.42","168.52","20,472,439"
03/31/2025,"164.49","167.94","160.62","167.43","35,656,449"
03/28/2025,"171.93","173.30","166.47","169.12","30,391,480"
03/27/2025,"177.66","178.38","170.46","171.99","32,151,670"
03/26/2025,"186.66","188.06","177.58","179.27","30,670,539"
03/25/2025,"190.89","191.60","187.68","188.26","23,417,250"
03/24/2025,"194.30","196.69","190.67","191.25","33,180,281"
03/21/2025,"188.21","192.07","187.37","191.66","43,086,520"
03/20/2025,"191.52","193.84","188.94","190.54","31,430,020"
03/19/2025,"189.34","198.27","186.90","195.57","37,962,699"
03/18/2025,"190.44","192.89","186.90","188.67","24,951,029"
03/17/2025,"188.05","196.72","187.50","194.50","26,830,619"
03/14/2025,"196.20","197.50","193.20","195.54","25,900,939"
03/13/2025,"193.15","196.32","189.47","191.36","27,236,141"
03/12/2025,"196.22","199.98","192.45","194.23","30,409,730"
03/11/2025,"188.05","195.62","185.35","190.09","42,153,246"
03/10/2025,"189.60","191.98","180.43","184.45","44,217,121"
03/07/2025,"187.73","195.48","181.56","194.96","74,528,867"
03/06/2025,"181.04","186.83","177.61","179.45","56,864,102"
